NUMERO_FACTURA;FECHA_COMPRA;VALOR;DESCUENTO;IVA;VALOR_TOTAL;SUCURSAL_NOMBRE;SUCURSAL_CIUDAD;SUCURSUAL_DIRECCION;CORREO_CLIENTE
663818;2018-06-15;114964;59;4;7530796;Del Sol;Tete;084 Delladonna Plaza;kflack0@addtoany.com
865346;2018-02-27;460232;9;1;8750890;Lakewood;Inhumas;681 Mccormick Junction;bhabin1@last.fm
486484;2018-11-15;379907;33;2;7098042;Browning;Hammam-Lif;36081 Saint Paul Center;atulleth2@ycombinator.com
440844;2018-02-14;225289;18;5;4649800;Veith;Iñapari;7491 Reindahl Point;hfleischer3@unc.edu
168323;2018-11-21;629634;42;4;9304975;Division;Rayevskiy;842 Bonner Junction;dgrinter4@ucoz.com
14883;2017-12-14;67955;31;1;3474875;Ruskin;Longping;21 Lyons Center;icorn5@topsy.com
45367;2018-06-17;589571;6;2;4378317;Kenwood;Zhongdong;63578 New Castle Place;vmccaughen6@vimeo.com
462932;2018-11-08;91073;2;1;9746667;Division;Machachi;333 Dorton Avenue;fjochanany7@smh.com.au
644639;2018-07-20;442408;2;3;1965947;Northwestern;Futian;05 Tony Pass;adeboo8@ucsd.edu
629516;2018-02-02;556164;47;3;9714510;Delaware;Hagonoy;673 Petterle Point;dronayne9@businessweek.com
502972;2018-11-13;315134;40;5;684575;Anniversary;Armash;7 Pond Trail;rbrimhama@chicagotribune.com
847001;2018-09-16;18627;58;2;6612815;Barby;Plomárion;7394 Redwing Parkway;kcockingb@reuters.com
354613;2018-08-25;121397;16;3;2520482;Dexter;Hīrna;111 Darwin Court;akindonc@discovery.com
799724;2018-01-12;636517;52;1;4492236;Redwing;Dallas;6761 Pankratz Plaza;btheodorisd@ftc.gov
212530;2018-08-05;41461;9;4;7609723;Blue Bill Park;Rajūzah;96724 Moulton Way;dhakeworthe@webeden.co.uk
43461;2018-06-16;251869;45;1;3346484;Fuller;Balboa;4534 Onsgard Park;cpenrithf@cnet.com
518787;2018-09-10;85845;6;1;5802640;Cardinal;Wanshi;9 Arkansas Park;mlucking@amazon.de
146180;2018-11-13;218770;54;1;1025733;Spaight;Wenlin;002 Glacier Hill Trail;crusheh@wordpress.org
777754;2018-08-12;558576;52;2;2089150;Kinsman;Strathmore;8 Shasta Plaza;wleasei@ibm.com
187742;2018-08-18;829146;22;3;8545408;Crowley;Santa Rosa;791 Farmco Terrace;jshoemarkj@nature.com
44737;2018-01-24;713626;50;5;5705886;Jay;Rudnichnyy;8295 South Alley;tbramek@lycos.com
344186;2018-06-27;971523;56;2;2283373;Stephen;Kolympári;16 Rieder Crossing;gclarkel@i2i.jp
981162;2018-10-23;237644;56;1;1189737;Bunting;Tsul-Ulaan;867 Melby Trail;rgarrattleym@bbb.org
702322;2018-06-25;207466;19;5;4112556;Hagan;Västra Frölunda;38831 Golf Course Place;mscothornn@dell.com
413625;2018-07-17;834709;19;4;7424060;Mosinee;Golcowa;2538 Mallory Junction;vodorano@plala.or.jp
625752;2018-04-03;275366;38;3;537258;Killdeer;Phatthaya;0 Continental Parkway;glynnp@blogger.com
453778;2018-09-14;597179;39;5;7020981;Declaration;Cernache do Bonjardim;85315 Morningstar Park;tyarrantonq@biblegateway.com
917514;2018-01-24;463676;4;5;9207687;Grover;Dongshui;0510 Thompson Point;cpidgleyr@mediafire.com
822152;2018-06-21;307695;25;2;2532199;Meadow Vale;Bořitov;8177 Burrows Alley;rcheavins@answers.com
959530;2018-10-17;12717;26;5;5694078;Holmberg;Foz Sousa;4 Jay Park;chankst@addthis.com
305484;2018-08-01;455324;26;1;7925340;Green Ridge;Joyabaj;196 Continental Park;kgildingu@feedburner.com
612543;2018-09-17;794313;43;4;2611845;Summerview;Amangarh;8 Delaware Center;dzellnerv@spotify.com
685931;2017-12-25;157818;15;3;1114656;Old Gate;Matagami;55 Maple Hill;emcramseyw@cornell.edu
514311;2018-02-24;955864;44;3;4153707;Duke;Shiye;48 Commercial Avenue;ehawsonx@e-recht24.de
389970;2018-03-27;575188;40;5;2353399;Mccormick;Nangong;03436 Anniversary Terrace;mrosendaley@dailymotion.com
265913;2018-10-01;58534;42;3;5172;Artisan;Rakai;653 Mifflin Parkway;mgrimsditchz@java.com
701566;2018-05-20;853564;20;4;806019;Russell;Kachug;90 Fallview Trail;rmckinie10@i2i.jp
